"My Wish List", "Wishlist"
"My Cart", "Bag"
"Cart", "Bag"
"We found other products you might like!", "You may also need these"
"Facebook Sign in", "Facebook"
"Google Sign in", "Google +"
"Instagram Sign in", "Instagram"
"Twitter Sign in", "Twitter"
"Add to Cart", "Add to Bag"
"Special Price", "From"
"More Choices:", "Have you thought about these?"
"Shopping Cart", "Shopping Bag"
"Subtotal", "Total"
"Item", "Product"
"Update Shopping Cart", "Update Bag"
"Summary", "Order Summary"
"Cart Subtotal", "Sub-total"
"Go to Checkout", "Checkout"
"View and edit cart", "View / edit bag"
"Shopping Options", "Shop By"
"Now Shopping by","Shopping By""My Wish List", "Wishlist"
"My Cart", "Bag"
"Cart", "Bag"
"We found other products you might like!", "You may also need these"
"Facebook Sign in", "Facebook"
"Google Sign in", "Google +"
"Instagram Sign in", "Instagram"
"Twitter Sign in", "Twitter"
"Customize and Add to Cart", "Select Colours"
"Special Price", "From"
"More Choices:", "Have you thought about these?"
"Shopping Cart", "Shopping Bag"
"Subtotal", "Total"
"Item", "Product"
"Update Shopping Cart", "Update Bag"
"Summary", "Order Summary"
"Cart Subtotal", "Sub-total"
"Go to Checkout", "Checkout"
"View and edit cart", "View / edit bag"
"Items in Cart", "Items"
"Item in Cart", "Item"
"Zip/Postal Code", "Postcode"
"Shipping Methods", "Shipping Options"
"Payment Method:","Select a payment method"
"Shopping Options", "Shop By"
"Now Shopping by","Shopping By"
"Write Us","We’d love your feedback"
"Jot us a note and we’ll get back to you as quickly as possible.","Fill in the form below and we will get back to you as soon as possible."
"Edit Account Information", "Account Information"
"My Dashboard", "Account Summary"
"Default Billing Address", "Billing Address"
"Default Shipping Address", "Shipping Address"
"Add to cart", "Add to bag"
"Move to Wishlist", "Add to Wishlist"
"Print Order", "Print"
"Wish List", "Wishlist"
"Update Wish List", "Update Wishlist"
"Share Wish List", "Share Wishlist"
"Add All to Cart", "Add All to Bag"
"Rating Summary", "Summary"
"Related Products", "Featured Products"
"Create New Customer Account", "Sign Up"
"Customer Login", "Sign In"
"All departments","All Categories"
"Shipping details","Shipping Address"
"Shipping information","Ship To"
"Estimate Shipping and Tax","Sub-total"
"Menu", "Shop"
